date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-11-10,6846,18000,1292700,71.9,72.5,71.6,71.7,0.2,17,73.44009366080203,74.43807139740647,75.90792466213085,79.67743233999889
2023-11-13,6846,8000,580700,72.5,73.0,72.3,72.3,0.6,8,73.0600624405347,74.04933114333257,75.59419208281513,79.4572104791034
2023-11-14,6846,1000,72200,72.2,72.2,72.2,72.2,-0.1,1,72.77337496035646,73.7130891172721,75.29904494517903,79.24057733047344
2023-11-15,6846,11000,795200,72.7,72.7,72.0,72.5,0.3,7,72.68224997357098,73.49252745958627,75.05564973255477,79.03936606687722
2023-11-16,6846,1000,72500,72.5,72.5,72.5,72.5,0.0,1,72.62149998238066,73.31206792147968,74.83341932102827,78.84416110965701
2023-11-17,6846,17000,1232000,72.5,72.5,72.3,72.5,0.0,15,72.58099998825377,73.16441920848338,74.63051329311277,78.65478316608515
2023-11-20,6846,6000,433700,72.5,72.5,72.0,72.3,-0.2,6,72.4873333255025,73.00725207966822,74.42785996327687,78.46508814620202
2023-11-21,6846,10000,727400,72.7,72.9,72.6,72.9,0.6,10,72.62488888366833,72.98775170154673,74.29500257516584,78.29896611198704
2023-11-22,6846,11000,797100,72.3,72.6,72.2,72.5,-0.4,9,72.58325925577888,72.89906957399278,74.13891539471663,78.12586264595758
2023-11-23,6846,10000,731100,72.7,73.4,72.7,73.4,0.9,10,72.85550617051926,72.99014783326682,74.07466188213257,77.98479211921259
2023-11-24,6846,9000,662700,73.8,73.9,73.3,73.9,0.5,6,73.20367078034617,73.15557549994558,74.05947389238192,77.86285802610176
2023-11-27,6846,44000,3207900,73.9,73.9,72.5,72.5,-1.4,27,72.96911385356411,73.03637995450093,73.9238674669574,77.70277271188976
2023-11-28,6846,21000,1523900,72.6,73.0,72.5,72.7,0.2,17,72.8794092357094,72.9752199627735,73.8174442089611,77.55343621302738
2023-11-29,6846,12000,866700,72.2,72.3,72.2,72.3,-0.4,9,72.68627282380626,72.85245269681468,73.68549253861666,77.39661722159373
2023-11-30,6846,16000,1151000,72.3,72.7,71.5,72.7,0.4,16,72.69084854920418,72.82473402466655,73.59979753525869,77.25641969259092
2023-12-01,6846,16000,1150700,72.0,72.1,71.8,72.1,-0.6,14,72.49389903280279,72.69296420199991,73.46938035827966,77.10249671669268
2023-12-04,6846,9000,651300,72.1,72.7,72.1,72.7,0.6,6,72.56259935520185,72.69424343799993,73.40247771842925,76.9710789042541
2023-12-05,6846,10000,727600,72.5,73.2,72.5,73.0,0.3,8,72.70839957013457,72.74983554018176,73.36747965595714,76.85253923547039
2023-12-06,6846,67000,5040800,73.4,78.0,73.4,76.7,3.7,61,74.03893304675638,73.46804726014872,73.6572640337,76.84798582545635
2023-12-07,6846,36000,2715500,76.5,76.5,74.7,74.9,-1.8,32,74.32595536450425,73.72840230375805,73.76532803076957,76.78983699484571
2023-12-08,6846,12000,892700,75.1,75.1,73.5,73.5,-1.4,11,74.0506369096695,73.68687461216567,73.74225602809395,76.69163290544734
2023-12-11,6846,23000,1749600,76.6,76.6,75.4,75.9,2.4,22,74.667091273113,74.08926104631736,73.92988593869447,76.66800207244891
2023-12-12,6846,16000,1215000,75.1,76.4,75.1,75.8,-0.1,16,75.04472751540867,74.40030449244148,74.09250455272104,76.64209156282357
